"","country","countryCode","region","year","count","population","share","lifeExpectency","undernourishment","unemployment","gdpPerCapita","politicalStability","ruleOfLaw","tertiaryEducation"
"551","Greenland","304","North America",1995,10000,55800,17.9,65.6,NA,NA,21665.8,NA,NA,NA
"552","Greenland","304","North America",2000,10000,56200,17.8,66.1,NA,NA,19004,NA,NA,NA
"553","Greenland","304","North America",2005,10000,56935,17.6,68.2,NA,NA,32489.7,NA,NA,NA
"554","Greenland","304","North America",2010,20000,56905,35.1,70.1,NA,NA,43988.5,100,1.7,NA
"555","Greenland","304","North America",2015,20000,56114,35.6,71.5,NA,NA,44536.4,100,1.7,NA
"556","Greenland","304","North America",2020,20000,56367,35.5,71.9,NA,NA,54693.1,100,1.7,NA
"557","Grenada","308","Latin America/Caribbean",1990,50000,99957,50,70.5,NA,NA,2782.2,NA,NA,NA
"558","Grenada","308","Latin America/Caribbean",1995,60000,103869,57.8,72.1,NA,NA,3294.3,NA,NA,NA
"559","Grenada","308","Latin America/Caribbean",2000,70000,107451,65.2,73,NA,NA,4839.8,81,0.3,NA
"560","Grenada","308","Latin America/Caribbean",2005,70000,109734,63.8,73.7,NA,NA,6338.6,58.3,0.4,NA
"561","Grenada","308","Latin America/Caribbean",2010,70000,111586,62.7,74.7,NA,NA,6909.6,63.5,0.1,NA
"562","Grenada","308","Latin America/Caribbean",2015,70000,114676,61,75,NA,NA,8694.1,71.4,0.2,92.9
"563","Grenada","308","Latin America/Caribbean",2020,70000,116341,60.2,75,NA,NA,8968.6,86.3,0.3,NA
"564","Guam","316","Asia/Pacific",1990,NA,138610,NA,73.5,NA,NA,NA,NA,NA,NA
"565","Guam","316","Asia/Pacific",1995,NA,150054,NA,74.5,NA,7.9,NA,NA,NA,NA
"566","Guam","316","Asia/Pacific",2000,NA,160065,NA,74.9,NA,15.3,NA,NA,NA,NA
"567","Guam","316","Asia/Pacific",2005,NA,164365,NA,76.4,NA,7,25632,68.4,1.1,NA
"568","Guam","316","Asia/Pacific",2010,NA,166522,NA,76.1,NA,8.2,29719.8,59.7,1.1,NA
"569","Guam","316","Asia/Pacific",2015,NA,164905,NA,76.4,NA,6.9,35165.7,71.9,1.3,NA
"570","Guam","316","Asia/Pacific",2020,NA,162158,NA,75.5,NA,NA,36482.9,77.4,1.1,NA
"571","Guatemala","320","Latin America/Caribbean",1990,390000,9024773,4.3,61.8,NA,NA,847.7,NA,NA,NA
"572","Guatemala","320","Latin America/Caribbean",1995,490000,10312996,4.8,63.7,NA,2.7,1421.1,NA,NA,8.5
"573","Guatemala","320","Latin America/Caribbean",2000,610000,11697592,5.2,67.1,NA,2.8,1649,22.8,-0.9,NA
"574","Guatemala","320","Latin America/Caribbean",2005,780000,13087629,6,68.2,19.3,3,2046.5,22.3,-1,NA
"575","Guatemala","320","Latin America/Caribbean",2010,970000,14500112,6.7,69.9,15.7,3.5,2805.3,20.9,-0.9,15.8
"576","Guatemala","320","Latin America/Caribbean",2015,1170000,15971743,7.3,70.9,15.6,2.5,3893.5,22.9,-1,22.1
"577","Guatemala","320","Latin America/Caribbean",2020,1480000,17357325,8.5,70,13.6,NA,4477.6,33,-1.1,18.7
"578","Guinea","324","Sub-Saharan Africa",1990,370000,6434374,5.8,47.3,NA,NA,604.3,NA,NA,1.1
"579","Guinea","324","Sub-Saharan Africa",1995,380000,7553249,5,49.8,NA,4.5,713,NA,NA,1.2
"580","Guinea","324","Sub-Saharan Africa",2000,4e+05,8428832,4.8,52.4,NA,4.5,518.2,4.2,-1.4,NA
"581","Guinea","324","Sub-Saharan Africa",2005,430000,9245844,4.7,54.4,16.3,4.5,463.2,16,-1.4,3.1
"582","Guinea","324","Sub-Saharan Africa",2010,480000,10396086,4.6,56.4,17.4,4.5,659.2,4.7,-1.5,10.6
"583","Guinea","324","Sub-Saharan Africa",2015,560000,11767070,4.8,57.9,12.8,4.4,747.4,32.9,-1.2,8.7
"584","Guinea","324","Sub-Saharan Africa",2020,640000,13371183,4.8,59.4,10.4,NA,1053.7,22.2,-1.3,5.8
"585","Guinea-Bissau","624","Sub-Saharan Africa",1990,60000,973669,6.2,46.9,NA,NA,651.3,NA,NA,NA
"586","Guinea-Bissau","624","Sub-Saharan Africa",1995,70000,1119949,6.2,48.5,NA,2.7,589.5,NA,NA,NA
"587","Guinea-Bissau","624","Sub-Saharan Africa",2000,80000,1234741,6.5,50.6,NA,2.7,316.9,33.9,-1.3,NA
"588","Guinea-Bissau","624","Sub-Saharan Africa",2005,90000,1381585,6.5,52.9,16.4,2.6,463.1,28.6,-1.3,2.2
"589","Guinea-Bissau","624","Sub-Saharan Africa",2010,1e+05,1566347,6.4,57,21,2.7,600.2,25.1,-1.3,NA
"590","Guinea-Bissau","624","Sub-Saharan Africa",2015,110000,1786457,6.2,60.1,30,2.6,645.1,27.1,-1.3,NA
"591","Guinea-Bissau","624","Sub-Saharan Africa",2020,120000,2013255,6,61.3,31.7,NA,817.8,20.8,-1.4,NA
"592","Guyana","328","Latin America/Caribbean",1990,260000,749894,34.7,62.3,NA,NA,528.9,NA,NA,5.6
"593","Guyana","328","Latin America/Caribbean",1995,320000,758388,42.2,62.7,NA,12,819.7,NA,NA,9
"594","Guyana","328","Latin America/Caribbean",2000,380000,764832,49.7,64.1,NA,11.8,931.8,30.7,-0.4,NA
"595","Guyana","328","Latin America/Caribbean",2005,420000,760914,55.2,64.4,6.6,11.1,1084.1,33,-0.7,10.9
"596","Guyana","328","Latin America/Caribbean",2010,470000,749256,62.7,66.2,8.7,11.5,4581.8,30.3,-0.5,10.8
"597","Guyana","328","Latin America/Caribbean",2015,510000,758781,67.2,67.7,4.4,12,5640.4,41.4,-0.5,NA
"598","Guyana","328","Latin America/Caribbean",2020,480000,807481,59.4,67.8,2.6,NA,6775.7,42.9,-0.4,NA
"599","Haiti","332","Latin America/Caribbean",1990,560000,6854441,8.2,53.2,NA,NA,451.7,NA,NA,NA
"600","Haiti","332","Latin America/Caribbean",1995,690000,7562546,9.1,55.6,NA,7.2,372,NA,NA,NA
"601","Haiti","332","Latin America/Caribbean",2000,830000,8303151,10,58.2,NA,8.2,820.6,26.5,-1.5,NA
"602","Haiti","332","Latin America/Caribbean",2005,1010000,9061273,11.2,60.3,50.8,14.4,775.8,4.9,-1.7,NA
"603","Haiti","332","Latin America/Caribbean",2010,1170000,9803294,11.9,45.6,41.1,15.4,1209.7,18,-1.4,NA
"604","Haiti","332","Latin America/Caribbean",2015,1520000,10523242,14.4,63.2,38.3,14,1411.1,22.4,-1.2,NA
"605","Haiti","332","Latin America/Caribbean",2020,1850000,11243848,16.4,63.8,45.1,NA,1290.3,14.2,-1,NA
"606","Honduras","340","Latin America/Caribbean",1990,180000,4980488,3.6,65.2,NA,NA,988.5,NA,NA,9.1
"607","Honduras","340","Latin America/Caribbean",1995,260000,5739637,4.5,66.9,NA,3.2,931.7,NA,NA,9.5
"608","Honduras","340","Latin America/Caribbean",2000,360000,6577773,5.5,68.3,NA,3.9,1092.6,41.3,-1,12.6
"609","Honduras","340","Latin America/Caribbean",2005,470000,7478355,6.3,69.2,21.5,4.9,1304.7,27.2,-0.8,NA
"610","Honduras","340","Latin America/Caribbean",2010,610000,8365878,7.3,69.8,15.9,4.1,1893.3,28.4,-0.9,19.2
"611","Honduras","340","Latin America/Caribbean",2015,760000,9237305,8.2,71.3,15,6.1,2271.2,29,-0.9,20.3
"612","Honduras","340","Latin America/Caribbean",2020,1050000,10119640,10.4,70.9,15.8,NA,2307.6,29.7,-1,22.8
"613","Hong Kong","344","Asia/Pacific",1990,580000,5704500,10.2,77.4,NA,NA,13485.6,NA,NA,NA
"614","Hong Kong","344","Asia/Pacific",1995,640000,6156100,10.4,78.7,NA,3.2,23497.4,NA,NA,NA
"615","Hong Kong","344","Asia/Pacific",2000,710000,6665000,10.7,80.9,NA,4.9,25756.8,79.9,0.8,NA
"616","Hong Kong","344","Asia/Pacific",2005,780000,6813200,11.4,81.6,2.5,5.6,26649.6,95.6,1.6,33
"617","Hong Kong","344","Asia/Pacific",2010,910000,7024200,13,83,2.5,4.3,32550.1,80.6,1.5,59
"618","Hong Kong","344","Asia/Pacific",2015,1010000,7291300,13.8,84.3,2.5,3.3,42432.2,86.7,1.8,68.7
"619","Hong Kong","344","Asia/Pacific",2020,1070000,7481000,14.3,85.5,2.5,NA,46109.2,49.1,1.6,89.9
"620","Hungary","348","Europe",1990,420000,10373988,4,69.3,NA,NA,3312.7,NA,NA,14.4
"621","Hungary","348","Europe",1995,420000,10328965,4.1,69.8,NA,10.2,4494.7,NA,NA,21.3
"622","Hungary","348","Europe",2000,430000,10210971,4.2,71.2,NA,6.6,4624.3,78.8,0.8,37.8
"623","Hungary","348","Europe",2005,490000,10087065,4.9,72.6,2.5,7.2,11223.4,80.1,0.8,65
"624","Hungary","348","Europe",2010,540000,10000023,5.4,74.2,2.5,11.2,13217.5,69.2,0.8,60.7
"625","Hungary","348","Europe",2015,630000,9843028,6.4,75.6,2.5,6.8,12717,69.5,0.4,50.1
"626","Hungary","348","Europe",2020,740000,9750149,7.6,75.4,2.5,NA,16132,74.1,0.5,54.6
"627","Iceland","352","Europe",1990,20000,254826,7.8,78,NA,NA,25384.9,NA,NA,25.3
"628","Iceland","352","Europe",1995,20000,267468,7.5,78,NA,5.2,26633.6,NA,NA,35.5
"629","Iceland","352","Europe",2000,30000,281205,10.7,79.7,NA,1.9,32096.4,96.8,1.8,45.9
